Name,Handle,Timestamp,Content,Tweet ID,photo_link
Alparslan Bayraktar,@aBayraktar1,2024-02-03T07:04:48.000Z,"Hepimizi derinden sarsan asrın felaketinin üzerinden tam bir yıl geçti. 

İlk günden itibaren devletimiz hızla yaraları sarmak için tüm gücüyle vatandaşımızın yanında oldu. 

Depremden etkilenen şehirlerimizi ayağa kaldırmak için de aralıksız çalışmaya devam ediyoruz.

Rabbim bir daha böyle acıları bizlere yaşatmasın.

Asrın Birlikteliği",tweet_id:1753675891127787813,https://pbs.twimg.com/ext_tw_video_thumb/1753674973783216128/pu/img/Uu7e5iHgOGAF0nE6.jpg
Alparslan Bayraktar,@aBayraktar1,2024-02-02T11:25:32.000Z,"Düşünce ve edebiyat dünyamızın değerli ismi Sayın Alev Alatlı'nın vefatını üzüntüyle öğrendim. Kendisine Allah'tan rahmet, yakınlarına ve sevenlerine sabırlar diliyorum.

Mekanı cennet olsun.",tweet_id:1753379119092432899,
Alparslan Bayraktar,@aBayraktar1,2024-02-01T18:00:06.000Z,"Cumhurbaşkanımız Sayın ’ın Nijer Başbakanı Sayın Ali Mahamane Lamine Zeine’i kabulüne eşlik ettik.

Türkiye ve Nijer arasındaki iş birliklerinin enerji ve maden alanlarında da geliştirilmesini hedefliyoruz.",tweet_id:1753116023845212220,
Alparslan Bayraktar,@aBayraktar1,2024-01-31T12:24:45.000Z,"Venezuela Petrol Bakanı Sayın Pedro Rafael Tellechea Ruiz ve Ekolojik Madencilik Gelişimi Bakanı Sayın William Serantes Pinto ile petrol, doğal gaz ve madencilik alanlarında iki ayrı mutabakat zaptı imzaladık. 

Attığımız imzaların iki ülke ilişkilerini daha da derinleştirecek sonuçlar doğurmasını temenni ediyorum.",tweet_id:1752669244515332581,
Alparslan Bayraktar,@aBayraktar1,2024-01-31T06:00:10.000Z,"Venezuela’da Ekolojik Madencilik Gelişimi Bakanı Sayın William Serantes Pinto ile de bir araya geldik.

Madencilik alanında yatırım ve iş birliği olanaklarını ele aldık. Eti Maden, MTA, TPIC gibi şirketlerimizin Venezuela'da faaliyet gösterebileceği alanlara ilişkin istişarede bulunduk.",tweet_id:1752572461944647895,
Alparslan Bayraktar,@aBayraktar1,2024-01-30T11:18:57.000Z,"Cumhurbaşkanımız ve Genel Başkanımız Sayın  tarafından açıklanan seçim beyannamemiz, Türkiye Yüzyılı şehirleri için gerçek belediyeciliğin yol haritası olacak. 

Millete hizmet şiarıyla inşallah 31 Mart seçimlerini kazanacak, enerjisini doğadan alan şehirler inşa edeceğiz. Şehir ve mahalle ölçeğinde temiz enerji girişimlerine desteğimizle yenilenebilir ve sürdürülebilir enerjiyi şehirlerimizde daha yaygın hale getireceğiz. #GerçekBelediyecilik",tweet_id:1752290298036682843,
Alparslan Bayraktar,@aBayraktar1,2024-01-29T10:50:00.000Z,"Dünya Bankası Operasyonlar Genel Müdürü Sayın Anna Bjerde ve beraberlerindeki heyet ile Bakanlığımızda bir araya geldik.

Görüşmede Türkiye’nin enerji dönüşümü sürecinde Dünya Bankası tarafından enerji sektörümüze nasıl daha fazla katkı sunulabileceğine ilişkin değerlendirmelerde bulunduk.",tweet_id:1751920622689538331,
Alparslan Bayraktar,@aBayraktar1,2024-01-29T06:30:26.000Z,"Sakarya Gaz Sahası’nda günlük doğal gaz üretimimizi en kısa zamanda 10 milyon metreküpe, akabinde de nihai olarak günlük 40 milyon metreküpe çıkartacak ve 15 milyon hanemize doğal gazı buradan tedarik edeceğiz.",tweet_id:1751855302817788079,
Alparslan Bayraktar,@aBayraktar1,2024-01-27T12:05:53.000Z,"Can Azerbaycan'ın başkenti Bakü'deyiz.

Azerbaycan Enerji Bakanı Sayın Perviz Şahbazov ve heyeti ile bir araya geldik.

Görüşmemizde özellikle yenilenebilir enerji ve elektrik enerjisi enterkonneksiyonu konularını ele aldık.
 
Bu alanlarda ülkelerimiz arasında ortak çalışmaların geliştirilmesi ve derinleştirilmesine yönelik atacağımız adımları değerlendirdik.",tweet_id:1751214944425591240,
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir yatırımlarında yeni kapasiteyi kullanabilecek. 

Bu sayede 5 milyar dolarlık bir yatırım gerçekleşmesini öngörüyoruz. Sektörümüze hayırlı olsun.",tweet_id:1750488757134925873,
Alparslan Bayraktar,@aBayraktar1,2024-01-24T17:09:39.000Z,"Cumhurbaşkanımız Sayın  ve İran Cumhurbaşkanı Sayın İbrahim Reisi’nin katılımı ile Cumhurbaşkanlığı Külliyesi’nde düzenlenen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi Sekizinci Toplantısı’na iştirak ettik. 

Toplantı sonrasında Bakanlığımız ile İran Petrol Bakanlığı arasında liderlerin huzurunda “Enerji Alanında İş Birliği Mutabakat Zaptı” ve İran Şebeke Yönetim Şirketi ile “İşletme Anlaşması” imzaladık.

Atılan imzalarla başta doğal gaz olmak üzere enerjinin tüm alanlarında mevcut iş birliğimizi geliştirmeyi hedefliyoruz.",tweet_id:1750204226448335235,
